id,title,tag,matched_words,score
329,"TSENG TSNG SEES SALES INCREASE FIRST QTR 1987",neutral,,0
330,"MINNTECH MNTX GETS MORE CASH FOR DEVELOPMENT",neutral,,0
331,"STOCKHOLDER SYSTEMS SSIAA MAKES ACQUISITION",neutral,,0
332,"CONCEPT INC CCPT 2ND QTR FEB 28 NET",neutral,,0
333,"LIFE OF INDIANA CORP LIFI 4TH QTR LOSS",negative,loss,-1
334,"B.F. SAUL REAL ESTATE INVESTMENT BFS PAYOUT",neutral,,0
335,"SOUTH AFRICA PROBLEMS REMAIN DESPITE DEBT PACT",negative,"debt, problems",-2
336,"MAYTAG MYG SEES CAPITAL SPENDING UP IN 1987",neutral,,0
337,"TRAVELERS TIC UNIT TO BUY REALTY DIVISIONS",neutral,,0
338,"COMMUNICATIONS AND CABLE INC CCAB 1ST QTR NET",neutral,,0
339,"BEN EQUITY HOLDINGS BH SUSPENDED ON NYSE",neutral,,0
340,"ESCAGEN CORP ESN INITIAL OFFERING STARTS",neutral,,0
341,"BRISTOLMYERS BMY FILES AIDS VACCINE WITH FDA",neutral,,0
342,"DALLAS INVESTOR CUTS STAKE IN MCDERMOTT MDR",neutral,,0
343,"FED ADOPTS REDEPOSIT SERVICE FOR BOUNCED CHECKS",neutral,,0
344,"INTNL PLATINUM, DEGUSSA IN JOINT VENTURE TALKS",neutral,,0
345,"WESTWOOD ONE INC WONE 1ST QWTR FEB 28 NET",neutral,,0
346,"REAGAN OPPOSES NEW TAXES, SEEKS BUDGET",neutral,,0
347,"IRAN SAYS HAS BETTER WEAPONS THAN SILKWORM",positive,better,1
348,"EC COMMISSION DETAILS SUGAR TENDER",positive,tender,1
349,"INLAND STEEL IAD PREFERRED OFFERED",neutral,,0
350,"ADVANCED MICRO AMD PREFERRED OFFERED",positive,advanced,1
351,"TRICENTROL TO CONCENTRATE ON PROVEN RESERVES",positive,proven,1
352,"ROLLSROYCE SIGNS NEW ENGINE DEAL WITH BOEING",neutral,,0
353,"BROOKLYN UNION GAS CO BU SETS PAYOUT",neutral,,0
354,"UNISYS UIS INTRODUCES NEW PRODUCTS",neutral,,0
355,"ARGENTINE PORT WORKERS TAKE INDUSTRIAL ACTION",neutral,,0
356,"NOVAMIN SAYS IT RECEIVED PROPOSED TAKEOVER BID FROM BREAKWATER",neutral,,0
357,"NYFE SEAT SELLS FOR 200 DLRS",neutral,,0
358,"NEC CORP HAS 150 MLN DLR EUROCP PROGRAM",neutral,,0
359,"FRANCE SETS FOUR BILLION FRANC TBILL TENDER",positive,tender,1
360,"FED EXPECTED TO ADD RESERVES IN MARKET",neutral,,0
361,"INDIA REPORTED BUYING TWO WHITE SUGAR CARGOES",neutral,,0
362,"NOVAMIN IN PROPOSED BUYOUT BY BREAWATER BWRLF",neutral,,0
363,"LILLY INDUSTRIAL COATINGS INC LICIA 1ST QTR",neutral,,0
364,"COMMONWEALTY REALTY CRTYZ, BAY BAY END TALKS",neutral,,0
365,"METPRO CORP MPR 4TH QTR ENDS JAN 31 NET",neutral,,0
366,"EDO EDO TO BUY BACK ADDITIONAL 500,000 SHARES",neutral,,0
367,"VISTA VISA FORMS OFFICE OF THE PRESIDENT",neutral,,0
368,"CENTRAL MAINE POWER CO CTP SETS QUARTERLY",neutral,,0
369,"SOME FIRMS CURB COMMODITIES BUSINESS WITH DREXEL",neutral,,0
370,"PEP BOYS PBY SETS SPLIT, RAISES QUARTERLY",neutral,"pep; split",0
371,"PEP BOYS  MANNY, MOE AND JACK INC PBY 4TH QTR",positive,pep,1
372,"HOVNANIAN ENTERPRISES HOV EARNINGS TO RISE",neutral,,0
373,"NY TRADERS SAY TURKEY MADE LARGE SUGAR PURCHASE",neutral,,0
374,"NORFOLK NSC UNIT SELLS EQUIPMENT CERTIFICATES",neutral,,0
375,"ANHEUSERBUSCH BUD OFFICER RESIGNS",neutral,,0
376,"JOHNSON SAYS FEDS ACTIONS YESTERDAY MEANT TO STABILIZE DOLLAR AT CURRENT LEVELS",positive,stabilize,1
377,"SUNSTAR FOODS INC SUNF 2ND QTR FEB 28 NET",neutral,,0
378,"PHOENIX RE PXRE INITIAL OFFERING UNDER WAY",neutral,,0
379,"NIPPON SIGNAL TO ISSUE 50 MLN SWISS FRANC NOTES",negative,issue,-1
380,"HADSON HADS TO ACQUIRE 85 PCT OF SEAXE SEAX",neutral,,0
381,"REUTERS TO BUY I P SHARP OF CANADA",positive,sharp,1
382,"TCBY ENTERPRISES TCBY SPLITS STOCK",neutral,,0
383,"FIRST INTERSTATE I SELLS CAPITAL NOTES",neutral,,0
384,"RAYTHEON CO RTN SETS QUARTERLY",neutral,,0
385,"FIAT MAY ISSUE BOND FOR LIBYAN STAKE, PAPER SAYS",negative,issue,-1
386,"ITALYS STET FORMS TELECOMMUNICATIONS FIRM",neutral,,0
387,"P.H. GLATFELTER CO GLP INCREASES DIVIDEND",neutral,,0
388,"LIFE OF INDIANA CORP LIFI 4TH QTR LOSS",negative,loss,-1
389,"CORRECTED  TSENG TSNG SEES SALES INCREASE",neutral,,0
390,"BRAZILIAN BANK STRIKE SPREADS, UNION SAYS",negative,strike,-1
391,"CONSOLIDATED NOREX TO ACQUIRE TRIWEB RESOURCES",neutral,,0
392,"THAI SUGAR PRODUCTION CONTINUES HIGH IN FEB",neutral,,0
393,"SWEDISH EXPORT CREDIT ISSUES NEW ZEALAND DLR BOND",negative,issues,-1
394,"APOLLO COMPUTER APCI IN JOINT MARKETING PACT",neutral,,0
395,"ACCUGRAPH IN ASIA MARKETING PACT WITH TRIOTECH",neutral,,0
396,"REICHHOLD CHEMICALS INC EXPLORING POSSIBLE SALE OF EUROPEAN SUBSIDIARY",neutral,,0
397,"NY TRADERS EXPECT CHINA TO STEP UP SUGAR BUYING",neutral,,0
398,"ROSS STORES INC ROST 4TH QTR JAN 31 LOSS",negative,loss,-1
399,"ITALIAN TREASURY BILL OFFER HAS MIXED RESPONSE",neutral,,0
400,"AFG AFG EXPANDS INTO AUTO GLASS REPLACEMENT",neutral,,0
401,"GREENWOOD RESOURCES SAYS BANKS COULD FORECLOSE",neutral,,0
402,"NAVISTAR NAV STILL EXPECTS HIGHER 1987 NET",neutral,,0
403,"HEES INTERNATIONAL SETS 100 MLN DLR SHARE ISSUE",negative,issue,-1
404,"CORRECTEDLILLY INDUSTRIAL COATINGS INC LICIA",neutral,,0
405,"U.S. SENATE PANEL APPROVES TRADE MISSION BILL",neutral,,0
406,"CATERPILLAR CAT WORKERS TOLD TO END SITIN",neutral,,0
407,"BAT SHARES UNDERVALUED, SAY STOCK MARKET ANALYSTS",neutral,,0
408,"BALDRIGE SAYS U.S. WILL NOT LET JAPAN DOMINATE WORLD ELECTRONICS MARKET",positive,dominate,1
409,"REICHHOLD RCI EXPLORING SALE OF EUROPEAN UNIT",neutral,,0
410,"AMERICUS TRUST FOR MERCK MRK NOW EFFECTIVE",positive,"trust, effective",2
411,"UAL SAID DONALD TRUMP WAS INTERESTED IN UAL STOCK AS INVESTMENT",positive,trump,1
412,"INTL BROADCASTING IBCA SETS REVERSE SPLIT",negative,split,-1
413,"BI INC BIAC SETS REVERSE SPLIT",negative,split,-1
414,"BALDRIGE SAYS JAPAN MUST OPEN ITS MARKETS",neutral,,0
415,"K MART KM UNIT BUYS TEXAS LAND",neutral,,0
416,"BASF CORP YEAR NET",neutral,,0
417,"TORONTO DOMINION BUYING MONTREAL EXCHANGE SEAT",neutral,,0
418,"LEAR SIEGLER DEPOSITS 79.4 MLN DLRS TO SECURE NOTES, EFFECTS REORGANIZATION",positive,secure,1
419,"J.A.M. JAMY WINS 1.5 MLN DLR CONTRACT",positive,wins,1
420,"UNISYS UIS NEW MAINFRAME INTRODUCTION NOT SET",neutral,,0
421,"MONTANA POWER CO MTP VOTES QUARTERLY DIVIDEND",neutral,,0
422,"UAL UAL SAID TRUMP TALKED WITH UAL CHAIRMAN",positive,trump,1
423,"GROLIER GLR DEBT UPGRADED BY MOODYS",neutral,"upgraded; debt",0
424,"TEAM INC TMI 3RD QTR FEB 28 NET",neutral,,0
425,"TODD SHIPYARDS CORP OMITS QTLY COMMON DIV, SETS PREFERRED PAYOUT",neutral,,0
426,"RSI CORP RSIC 2ND QTR FEB 28 NET",neutral,,0
427,"RCM TECHNOLOGIES INC RCMT 1ST QTR JAN 31 LOSS",negative,loss,-1
428,"MCCLAIN INDUSTRIES INC MCCL 1ST QTR DEC 31 NET",neutral,,0
429,"FED OFFERS TO BUY ONE BILLION DLRS OF BILLS FOR CUSTOMER, AFTER NOTE AUCTION",neutral,,0
430,"SYNALLOY SYO ENDS PLANS TO SELL UNIT",neutral,,0
431,"CIL ACQUIRING TRIMACS STAKE IN TRICIL",neutral,,0
432,"EC INFLATION STARTS TO RISE AGAIN IN FEBRUARY",neutral,,0
433,"PANTERAS PANT TO BUY TEN PIZZA RESTAURANTS",neutral,,0
434,"ALLIEDSIGNAL INC TO SELL LINOTYPE GROUP TO COMMERZBANK OF WEST GERMANY",neutral,,0
435,"ENERGYU.S. OIL OUTPUT",neutral,,0
436,"TODD SHIPYARDS TOD OMITS COMMMON DIVIDEND",neutral,,0
437,"IMO DELAVAL IMD SETS INITIAL DIVIDEND",neutral,,0
438,"FED TO PURCHASE TREASURY BILLS FOR A CUSTOMER",neutral,,0
439,"GOULD GLD INTRODUCES NEW MINI SUPERCOMPUTERS",neutral,,0
440,"NATIONAL COMPUTER SYSTEMS INC NLCS4TH QTR NET",neutral,,0
441,"SEC SANCTIONS ACCOUNTANTS KMG MAIN HURDMAN",neutral,,0
442,"ALLIEDSIGNAL ALD TO SELL LINOTYPE UNIT",neutral,,0
443,"CONTINENTAL HEALTH AFFILIATES INC CTHL 4TH QTR",neutral,,0
444,"CANADA SETS OIL INDUSTRY AID PACKAGE",neutral,,0
445,"CONTINENTAL CTHL REPURCHASES NOTES",neutral,,0
446,"ATLANTIS GROUP INC TO OFFER SHARES, NOTES",neutral,,0
447,"MOUNTLEIGH GROUP SEEKS 100 MLN STG FACILITY",neutral,,0
448,"SOUTHWEST FOREST SWF SETTLES STRIKE",negative,strike,-1
449,"COCOA TALKS SLOW AT CRUCIAL STAGE  DELEGATES",negative,slow,-1
450,"MACK TRUCKS MACK DEBT AFFIRMED BY SP",negative,debt,-1
451,"EURATOM ECU BOND MARKS ROME TREATY ANNIVERSARY",neutral,,0
452,"NEWMONT GOLD NGC SEES GOLD SALES RISING",positive,gold,1
453,"MESSIDOR TO MERGE WITH TRITON BELEGGINGEN",neutral,,0
454,"IMMUNOGENETICS IGEN TO ENTER LIPOSOME FIELD",neutral,,0
455,"SMITH BARNEY ANALYST CUTS HERCULES HPC RATING",neutral,,0
456,"SP UPGRADES CONSUMERS POWERS SENIOR AND SUBORDINATED DEBT",negative,debt,-1
457,"NAVISTAR NAV SEES HIGHER CAPITAL SPENDING",neutral,,0
458,"MOHAWK DATA MDS AFFILIATE IN SERVICE DEAL",neutral,,0
459,"CONSUMERS POWER CMS DEBT RAISED BY SP",negative,debt,-1
460,"ENCOR ENERGY CORP PLANS 125 MLN DLR DEBENTURE OFFER",neutral,,0
461,"PACIFIC GAS PCG SEEKS PURCHASE RULE CHANGE",neutral,,0
462,"ENCOR ENERGY CORP INC YR NET LOSS 406.6 MLN VS PROFIT 35.4 MLN",negative,loss,-1
463,"BRAZIL PLANS NEW ECONOMIC STRATEGY FOR GROWTH",neutral,,0
464,"MIDDLE SOUTH MSU TO FORM NEW DIVIDEND POLICY",neutral,,0
465,"UK POLL SHOWS SURGE FOR CENTRIST ALLIANCE PARTIES",neutral,,0
466,"EMERSON RADIO EME SELLS DEBT PRIVATELY",negative,debt,-1
467,"SOLAR SYSTEMS SUN DANCE SSDN EXTENDS WARRANTS",neutral,,0
468,"TWA SOLD FOUR MLN SHARES OF USAIR BELIEVED TO INSTITUTIONS, WALL STREET SOURCES",neutral,,0
469,"U.S. SUGAR POLICY MAY SELFDESTRUCT, CONGRESSMAN",neutral,,0
470,"FIAT SAYS IT NOT PLANNING TO ISSUE EUROBONDS",negative,issue,-1
471,"INVESTORS INCREASE STAKE IN FROST, SULLIVAN",negative,frost,-1
472,"LIBERIAN ORE CARRIER IN COLLISION IN RIVER ELBE",neutral,,0
473,"AIM TELEPHONES AIMT SELLS DEBT TO SHAREHOLDER",negative,debt,-1
474,"HERSHEY OIL CORP HSO 4TH QTR LOSS",negative,loss,-1
475,"VISTA MANAGEMENT INC GETS BOND GUARANTEES",neutral,,0
476,"EG AND G INC EGG SETS QUARTERLY",neutral,,0
477,"ENCOR ENERGY CORP INC YEAR LOSS",negative,loss,-1
478,"BRAZILIAN LABOUR UNREST SPREADS, MANY BANKS SHUT",negative,unrest,-1
479,"OAK INDUSTRIES OAK SETS DEBT EXCHANGE OFFER",negative,debt,-1
480,"COLLINS FOODS CF TO REDEEM DEBENTURES",positive,redeem,1
481,"ANDREOTTI DROPS COALITION BID",neutral,,0
482,"TEAM TMI TO UNVEIL NEW EQUIPMENT IN MAY",neutral,,0
483,"ASTA GROUP INC UNIT IN LOAN PURCHASE",neutral,,0
484,"ENCOR PLANS 125 MLN DLR DEBENTURE OFFERING",neutral,,0
485,"ARDEN INTERNATIONAL AIKI 4TH QTR DEC 27 NET",neutral,,0
486,"TWA TWA SELLS POSITION IN USAIR U",neutral,,0
487,"COMBUSTION ENGINEERINGCSP SEES 1ST QTR NET OFF",neutral,,0
488,"NEWMONT GOLD SEES ITS SALES RISING 22 PCT",positive,gold,1
489,"TALKING POINTTOBACCO STOCKS",neutral,,0
490,"MICRO DISPLAY MDSI GETS EUROPEAN ORDERS",neutral,,0
491,"TREASURYS BAKER SAYS EXCHANGE RATE CHANGES WILL REDUCE TRADE DEFICIT THIS YEAR",neutral,,0
492,"TREASURYS BAKER SAYS ECONOMIC COOPERATION PROCESS IS WORKING",neutral,,0
493,"TREASURYS BAKER SAYS THROWING MONEY AT DEBTOR NATIONS WONT WORK",positive,work,1
494,"UTAH POWER UTP PLANS TO REDEEM PREFERRED STOCK",positive,redeem,1
495,"GATEWAY SPORTING BUYS INNOVATIVE DENTAL",positive,innovative,1
496,"TREASURYS BAKER SEES CUT IN TRADE DEFICIT",neutral,,0
497,"CYCLOPS CORP REFORMS BOARD AFTER DIXONS GROUP FAILS TO GET MAJORITY OF CYCLOPS STOCK",neutral,"reforms; fails",0
498,"UK TO RETAIN POWERS AGAINST U.S UNITARY TAXATION",neutral,,0
499,"TREASURYS BAKER SAYS ECONOMIC COOPERATION WORKS",positive,works,1
500,"PAN ATLANTIC RE INC PNRE 4TH QTR NET",negative,pan,-1
501,"QUAKER CHEMICAL CORP QCHM SETS QUARTERLY",neutral,,0
502,"RAYTHEON RTN DIRECTOR RESIGNS",neutral,,0
503,"MIDDLE SOUTH MSU TO CONSIDER DIVIDEND",neutral,,0
504,"MONARCH CAPITAL MON CALLS PREFERRED",neutral,,0
505,"CYANOTECH CYAN SETS WAY TO EXTRACT CAROTENE",neutral,,0
506,"SAS TO UPGRADE CABIN SERVICE IN SCANDINAVIA",neutral,,0
507,"BELGIUM PLANS TO OUTLAW INSIDER TRADING",negative,outlaw,-1
508,"OWENSCORNING FIBERGLAS OCF SELLS FOAM UNIT",neutral,,0
509,"U.S. SHOE INC 4TH QTR SHR 31 CTS VS 56 CTS",neutral,,0
510,"U.S. TAX FRAUD CHARGES BROUGHT AGAINST THREE",negative,fraud,-1
511,"OBRIEN ENERGY OBS IN CITICORP CCI LEASE",neutral,,0
512,"QUAKER CHEMICAL QCHM TO REPURCHASE SHARES",neutral,,0
513,"TREASURYS BAKER OUTLINES TRADE BILL CRITICISMS",negative,criticisms,-1
514,"CASINO COMMISSION DELAYS VOTE ON HOLIDAY HIA",negative,delays,-1
515,"WORTHERN BANKING WOR IN AGREEMENT WITH FEDS",neutral,,0
516,"U.S. SHOE CORP USR 4TH QTR JAN 31 NET",neutral,,0
517,"NUTMEG INDUSTRIES NUTM SETS LICENSING PACT",neutral,,0
518,"ARGENTINE SOYBEAN YIELD ESTIMATES DOWN FURTHER",neutral,,0
519,"BETA PHASE BETA TO SELL EYEGLASS TECHNOLOGY",neutral,,0
520,"LYNG SAYS AGRICULTURE SHOULD SHARE SPENDING CUTS",neutral,,0
521,"TREASURYS BAKER SAYS NEW MONEY NOT PANACEA",neutral,,0
522,"VERTEX INDUSTRIES INC VETX 2ND QTR JAN 31 NET",neutral,,0
523,"CYCLOPS CYL SAYS DIXONS APPOINTEES RESIGN",neutral,,0
524,"ECUADOR NEGOTIATES WITH NIGERIA FOR LENDING OIL",neutral,,0
525,"COMPUTERVISION CVN UNVEILS NEW DESIGN GEAR",neutral,,0
526,"NORTHERN STATES POWER CO NSP VOTES QUARTERLY",neutral,,0
527,"SUMMIT TAX EXEMPT BOND FUND SUA SETS PAYOUT",neutral,,0
528,"U.S. SENATE TRADE LEADER CONCERNED ABOUT CANADA",negative,concerned,-1
529,"TREASURYS BAKER SAYS NEW MONEY NOT DEBT PANACEA",negative,debt,-1
530,"BAKER SAYS U.S. WILLING TO COOPERATE TO STABILIZE EXCHANGE RATES",positive,"willing, stabilize",2
531,"BAKER SAYS U.S. WANTS TO STABILIZE EXCHANGE RATES",positive,stabilize,1
532,"JUSTICE, DOT BACK AIRLINE ANTITRUST SWITCH",neutral,,0
533,"U.S. GOVERNMENT EXPANDS CRACKDOWN ON BAD DEBTS",negative,"debts, bad",-2
534,"FIRST FEDERAL DELAWARE AGREEMENT EXTENDED",neutral,,0
535,"EDELMAN GROUP IN PLAN TO BUY MORSE SHOE MRS",neutral,,0
536,"PHILIP MORRIS MO OSCAR MAYER SETS REDEMPTION",positive,redemption,1
537,"U.S  AUTO AGENCY GRANTS FORD F AIR BAG REQUEST",neutral,,0
538,"MERCK MRK GETS FDA HEARTWORM MEDICINE APPROVAL",positive,approval,1
539,"JOHN LABATT SEES GOOD FOURTH QUARTER, YEAR",positive,good,1
540,"HUSKY HYO SETS MEETING TO APPROVE MERGER",positive,approve,1
541,"BALTIMORE GAS AND ELECTRIC BGE FILES DEBT",negative,debt,-1
542,"MERCK MRK GETS APPROVAL FOR DOG HEART DRUG",positive,approval,1
543,"WASHINGTON GAS LIGHT CO WGL HIKES PAYOUT",neutral,,0
544,"ZENITH ZE NAMES NEW FINANCIAL OFFICER",positive,zenith,1
545,"FERC DECISION COULD CUT COLUMBIA GAS CG NET",neutral,,0
546,"U.S. OFFERS MORE CREDITS FOR VEG OIL TO N. YEMEN",neutral,,0
547,"PUERTO RICAN CEMENT CO PRN SETS PAYOUT",neutral,,0
548,"U.S. SHOE USR TO OPEN 421 STORES IN 1987",neutral,,0
549,"BARRIS BRRS TO BUY BACK STOCK",neutral,,0
550,"CANADA MAY MONITOR STEEL SHIPMENTS",neutral,,0
551,"MEXICO SIGNS 100 MLN DLR IADB TOURISM LOAN",neutral,,0
552,"WESCO FINANCIAL CORP WSC 4TH QTR NET",neutral,,0
553,"HELM H SELLS ADDITIONAL SHARES IN BAMBERGER",neutral,,0
554,"AMPALAMERICAN ISRAEL CORP AIS.A YEAR NET",neutral,,0
555,"COCOA COUNCIL CHAIRMAN SEEKS BUFFER COMPROMISE",neutral,,0
556,"SNC GROUP EXPECTS HIGHER 1987 EARNINGS, SALES",neutral,,0
557,"MINE SAFETY MNES SELLS SOUTH AFRICA UNIT",neutral,,0
558,"MEDAR INC MDXR 4TH QTR DEC 31 LOSS",negative,loss,-1
559,"MEDAR MDXR CHANGES FISCAL YEAR",neutral,,0
560,"EPSILON DATA EPSI GETS NEW CREDIT AGREEMENT",neutral,,0
561,"U.S. SECURITIES INDUSTRY ASSN BACKS RESTRAINTS ON TAKEOVERS, INSIDER TRADING",neutral,,0
562,"CHEMFIX TECHNOLOGIES INC CFIX 2ND QTR NET",neutral,,0
563,"ALABAMA UPGRADED IN BRUCELLOSIS PROGRAM",positive,upgraded,1
564,"HELM H AFFILIATE SELLS SYSTEM",neutral,,0
565,"FEDERAL PAPER FBO OFFERS PREFERENTIAL SHARES",neutral,,0
566,"ALLISCHALMERS AH SELLS SWISS UNIT",neutral,,0
567,"MONARCH CAPITAL MON PR WILL NOT RESUME TRADING",neutral,,0
568,"FLORIDA EMPLOYERS INSURANCE CO FLAE YEAR 1986",neutral,,0
569,"SHELL OIL GETS 104.3 MLN DLR CONTRACT",neutral,,0
570,"U.S. 4YEAR NOTE AVERAGE YIELD 6.79 PCT, STOP 6.79 PCT, AWARDED AT HIGH YIELD 95 PCT",positive,awarded,1
571,"DETROIT EDISON FILES SHELF REGISTRATION FOR ONE BILLION DLRS IN BONDS",neutral,,0
572,"NIKE INC NIKE 3RD QTR FEB 28 NET",neutral,,0
573,"ZENITH NATIONAL INSURANCE ZNAT QTLY DIVIDEND",positive,zenith,1
574,"REDKIN LABORATORIES INC RDKN QTLY DIVIDEND",neutral,,0
575,"INTL MINERALS IGL PLANS BIOTECHNOLOGY PROJECT",neutral,,0
576,"COOPERVISION INC EYE QTLY DIVIDEND",neutral,,0
577,"UAL UAL SURROUNDED BY TAKEOVER SPECULATION",neutral,,0
578,"U.S. SECURITIES GROUP BACKS INSIDER RESTRAINTS",neutral,,0
579,"TEXACO TX RESERVES DOWN DESPITE LOWER OUTPUT",neutral,,0
580,"SIX REPORTED WOUNDED IN ECUADOR GENERAL STRIKE",negative,strike,-1
581,"INTL MINERALS PROJECT TO BOOST HOG LEAN WEIGHT",positive,"lean, boost",2
582,"LOMAC TO PAY 17 MLN DLRS TO CLEAN SITE IN FIRST SUPERFUND2 SETTLEMENT",positive,clean,1
583,"PULITZER PUBLISHING CO PLTZC DECLARES QTLY DIV",neutral,,0
584,"FEDERAL CO FFF SETS REGULAR PAYOUT",neutral,,0
585,"TRANSCANADA PIPE TRP SETS SHARE REDEMPTION",positive,redemption,1
586,"SOUTHWESTERN BELL SBC SEES EARNINGS DILUTION",neutral,,0
587,"BOLIVIAN DEBT BUYBACK PLAN SAID GAINING GROUND",neutral,"gaining; debt",0
588,"BRAZIL WANTS TO INCREASE STEEL EXPORTS TO U.S.",neutral,,0
589,"XYLOGICS IN INITIAL PUBLIC OFFERING",neutral,,0
590,"DETROIT EDISON DTE REGISTERS BONDS",neutral,,0
591,"SP DOWNGRADES DANA CORPS 900 MLN DLRS OF DEBT",negative,debt,-1
592,"ANCHOR SAVINGS BANK OFFERING FULLY SUBSCRIBED",positive,savings,1
593,"LEAR SIEGLER HOLDING CORP PLANS TO DIVEST AEROSPACE SUBSIDIARY",neutral,,0
594,"VARITY CORP YEAR SHR LOSS 21 CTS VS LOSS 16 CTS",negative,loss,-1
595,"NORDSON NDSN SETS 3FOR2 SPLIT",negative,split,-1
596,"BALDRIGE SEES U.S. TRADE DEFICIT STARTING TO DECLINE IN FEB OR MARCH DATA",negative,decline,-1
597,"SP MAY UPGRADE WAINOCO OIL WOL",neutral,,0
598,"U.S. BUDGET DIRECTOR WARNS AGAINST TAX INCREASE",neutral,,0
599,"BALDRIGE SEES U.S. TRADE GAP DROPPING SOON",neutral,,0
600,"NORMAL WORK RESUMES AT NEW ZEALAND PORTS",positive,work,1
601,"VARITY CORP VAT 4TH QTR JAN 31 LOSS",negative,loss,-1
602,"INDIANA FEDERAL IFSL 4TH QTR NET",neutral,,0
603,"LEARSIEGLER HOLDING TO DIVEST AEROSPACE UNIT",neutral,,0
604,"RUBBERMAID RBD COMPLETES ACQUISITIONS",neutral,,0
605,"KANSAS POWER AND LIGHT KAN CHAIRMAN LEAVING",neutral,,0
606,"CRYSTAL OIL CO COR 4TH QTR LOSS",negative,loss,-1
607,"CHEMFIX TECHNOLOGIES CFIX 2ND QTR FEB 28 NET",neutral,,0
608,"FEDERALMOGUL CORP FMO SETS REGULAR DIVIDEND",neutral,,0
609,"IOWA RESOURCES INC IOR DECLARES QTLY DIVIDEND",neutral,,0
610,"EIA SAYS DISTILLATE STOCKS OFF 3.2 MLN BBLS, GASOLINE UP 2.2 MLN, CRUDE UP 7.5 MLN",negative,crude,-1
611,"U.S. HOME RESALES UP IN FEBRUARY, REALTORS SAY",neutral,,0
612,"EL PASO ELECTRIC ELPA TO BUY BACK BONDS",neutral,,0
613,"LOWER U.S. SOYBEAN LOAN IDEA SHARPLY CRITICIZED",negative,"sharply, criticized",-2
614,"FIDUCIARY TRUST CO IN FIVEFORONE STOCK SPLIT",neutral,"trust; split",0
615,"MODULAIRE MODX BUYS BOISE HOMES PROPERTY",neutral,,0
616,"U.S. HOUSE PANEL ADOPTS BILL THAT COULD BAR JAPANESE PRIMARY DEALERS",neutral,,0
617,"LITTLE SUPPORT FOR MANDATORY ACREAGE CUTS  LYNG",positive,support,1
618,"UAL UAL UNIT LINKS RESERVATION SERVICE",neutral,,0
619,"DANA CORP DCN DEBT LOWERED BY SP",negative,debt,-1
620,"MINNESOTA POWER MPL SELLS SEVENYEAR BONDS",neutral,,0
621,"LA QUINTA MOTOR INNS INCLQM3RD QTR FEB 28 NET",neutral,,0
622,"KANSAS CITY SOUTHERN INDUSTRIES SAYS IT EAGER TO PURCHASE SOUTHERN PACIFIC RAILROAD",positive,eager,1
623,"FNMA ANNOUNCES 10 AND 20YEAR MORTGAGE PRODUCTS",neutral,,0
624,"U.S. CHIPMAKERS URGE SANCTIONS AGAINST JAPAN",neutral,,0
625,"U.S. LEGISLATION COULD BAR JAPANESE DEALERS",neutral,,0
626,"BOLIVIAN DEBT BUYBACK PLAN GAINS GROUND",neutral,"gains; debt",0
627,"PDVSA PICKS ARCOAGIP CONSORTIUM IN COAL VENTURE",neutral,,0
628,"SP DOWNGRADES CHASE, CHEMICAL, IRVING, MANUFACTURERS, MELLON AND SECURITY PACIFIC",neutral,,0
629,"ICN ICN SAYS KODAK SALE WILL NOT AFFECT RD",neutral,,0
630,"RECENT U.S. OIL DEMAND UP 0.1 PCT FROM YEAR AGO",neutral,,0
631,"FED APPROVES CHEMICAL BANK ACQUISITION OF TEXAS COMMERCE BANCSHARES",neutral,,0
632,"SP DOWNGRADES SIX U.S. MONEY CENTER BANKS",neutral,,0
633,"KANSAS CITY KSU READY TO BUY SOUTHERN PACIFIC",positive,ready,1
634,"GENCORP GY BID COULD BE RAISED, GROUP SAYS",neutral,,0
635,"UNOCAL UCL PLANS INCREASE IN CAPITAL SPENDING",neutral,,0
636,"FED APPROVES CHEMICAL NEW YORK CHL MERGER",neutral,,0
637,"VARITYVAT SEES IMPROVED RESULTS AFTER 1ST QTR",positive,improved,1
638,"CAMPBELL RESOURCES CCH UPS MESTON LAKE STAKE",neutral,,0
639,"FPL GROUP FPL UNIT FILES TO OFFER PREFERRED",neutral,,0
640,"METROBANC MTBC SHAREHOLDERS APPROVE MERGER",positive,approve,1
641,"CONNECTICUT ENERGY CNEUNIT SEEKS HIGHER RATES",neutral,,0
642,"CATTLEMEN ASSESSING DEATH LOSS FROM STORM",negative,"loss, death",-2
643,"PLAINS RESOURCES INC PLNS YEAR LOSS",negative,loss,-1
644,"ECUADOR SIGNS 280 MLN DLR IADB LOAN",neutral,,0
645,"PERUS DEBT OBLIGATIONS HIT 6.3 BILLION DLRS IN 1987",negative,debt,-1
646,"PENNZOIL PZL WILLING TO SETTLE TEXACO TX LAWSUIT",positive,willing,1
647,"FARM CREDIT SYSTEM TO ASK FOR CONGRESSIONAL AID",neutral,,0
648,"GV MEDICAL INC GVMI 4TH QTR LOSS",negative,loss,-1
649,"FIRST FEDERALARKANSAS FARK IN COURT RULING",neutral,,0
650,"IBC PRESIDENT NOT TO ATTEND ICO EXECUTIVE BOARD",neutral,,0
651,"COLOMBIA TO MAINTAIN FOREIGN BORROWING LEVELS",neutral,,0
652,"EXCHANGE RATE BILL CLEARS U.S. HOUSE PANEL",positive,clears,1
653,"U.S. CHIPMAKERS URGE SANCTIONS AGAINST JAPAN",neutral,,0
